Experiment,lambda,alpha,NormalizedDCGEvaluator,PStatisticalParityEvaluator,ndcg_metric.py,psp.py
exp00000,0.0,0.0,0.032457848030119085,-0.6286883281127275,0.03268563802182673,-0.6286883281126886
exp00001,0.2,0.0,0.03629541139963511,-0.7161602171060718,0.03237819927531448,-0.6257786735389016
exp00002,0.4,0.0,0.03545302605687597,-0.7329184439527593,0.03194492781616723,-0.6305937111705394
exp00003,0.6,0.0,0.03389976584497031,-0.7496281168026956,0.03054444985469496,-0.6714177233356441
exp00004,0.8,0.0,0.03316481134951626,-0.7574583349324259,0.030021535809551206,-0.6786417520629566
exp00005,0.0,0.2,0.03653990213913579,-0.7151348158878333,0.03268563802182673,-0.6286883281126886
exp00006,0.2,0.2,0.03629541139963511,-0.7161602171060718,0.03237819927531448,-0.6257786735389016
exp00007,0.4,0.2,0.03545302605687597,-0.7329184439527593,0.03194492781616723,-0.6305937111705394
exp00008,0.6,0.2,0.03389976584497031,-0.7496281168026956,0.03054444985469496,-0.6714177233356441
exp00009,0.8,0.2,0.03316481134951626,-0.7574583349324259,0.030021535809551206,-0.6786417520629566
exp00010,0.0,0.4,0.03653990213913579,-0.7151348158878333,0.03268563802182673,-0.6286883281126886
exp00011,0.2,0.4,0.03629541139963511,-0.7161602171060718,0.03237819927531448,-0.6257786735389016
exp00012,0.4,0.4,0.03545302605687597,-0.7329184439527593,0.03194492781616723,-0.6305937111705394
exp00013,0.6,0.4,0.03389976584497031,-0.7496281168026956,0.03054444985469496,-0.6714177233356441
exp00014,0.8,0.4,0.03316481134951626,-0.7574583349324259,0.030021535809551206,-0.6786417520629566
exp00015,0.0,0.6,0.03653990213913579,-0.7151348158878333,0.03268563802182673,-0.6286883281126886
exp00016,0.2,0.6,0.03629541139963511,-0.7161602171060718,0.03237819927531448,-0.6257786735389016
exp00017,0.4,0.6,0.03545302605687597,-0.7329184439527593,0.03194492781616723,-0.6305937111705394
exp00018,0.6,0.6,0.03389976584497031,-0.7496281168026956,0.03054444985469496,-0.6714177233356441
exp00019,0.8,0.6,0.03316481134951626,-0.7574583349324259,0.030021535809551206,-0.6786417520629566
exp00020,0.0,0.8,0.03653990213913579,-0.7151348158878333,0.03268563802182673,-0.6286883281126886
exp00021,0.2,0.8,0.03629541139963511,-0.7161602171060718,0.03237819927531448,-0.6257786735389016
exp00022,0.4,0.8,0.03545302605687597,-0.7329184439527593,0.03194492781616723,-0.6305937111705394
exp00023,0.6,0.8,0.03389976584497031,-0.7496281168026956,0.03054444985469496,-0.6714177233356441
exp00024,0.8,0.8,0.03316481134951626,-0.7574583349324259,0.030021535809551206,-0.6786417520629566
